file_list,flags,temporal_coordinates,spatial_coordinates,metadata
['SNAP-134652-0054.jpg'],1,[],"[3.0, 546, 163, 13]",{}
['SNAP-134652-0054.jpg'],1,[],"[3.0, 1011, 242, 12]",{}
['SNAP-134704-0055.jpg'],1,[],"[3.0, 645, 722, 12]",{}
['SNAP-134704-0055.jpg'],1,[],"[3.0, 701, 295, 13]",{}
['SNAP-134704-0055.jpg'],1,[],"[3.0, 652, 83, 12]",{}
['SNAP-134704-0055.jpg'],1,[],"[3.0, 1263, 177, 15]",{}
['SNAP-134732-0056.jpg'],1,[],"[3.0, 322, 747, 16]",{}
['SNAP-134732-0056.jpg'],1,[],"[3.0, 516, 612, 16]",{}
['SNAP-134732-0056.jpg'],1,[],"[3.0, 744, 689, 15]",{}
['SNAP-134732-0056.jpg'],1,[],"[3.0, 303, 999, 19]",{}
['SNAP-134732-0056.jpg'],1,[],"[3.0, 1288, 673, 14]",{}
['SNAP-134732-0056.jpg'],1,[],"[3.0, 1251, 107, 14.562]",{}
['SNAP-134750-0057.jpg'],1,[],"[3.0, 215, 260, 12]",{}
['SNAP-134750-0057.jpg'],1,[],"[3.0, 796, 346, 13]",{}
['SNAP-134750-0057.jpg'],1,[],"[3.0, 1247, 116, 10]",{}
['SNAP-134811-0058.jpg'],1,[],"[3.0, 91, 867, 17]",{}
['SNAP-134811-0058.jpg'],1,[],"[3.0, 1090, 662, 15]",{}
['SNAP-134824-0059.jpg'],1,[],"[3.0, 361, 100, 13]",{}
['SNAP-134824-0059.jpg'],1,[],"[3.0, 1104, 527, 14]",{}
['SNAP-134824-0059.jpg'],1,[],"[3.0, 904, 608, 12]",{}
['SNAP-134824-0059.jpg'],1,[],"[3.0, 1242, 744, 15.975]",{}
['SNAP-134824-0059.jpg'],1,[],"[3.0, 659, 918, 8]",{}
['SNAP-134824-0059.jpg'],1,[],"[3.0, 70, 979, 10]",{}
['SNAP-134839-0060.jpg'],1,[],"[3.0, 623, 263, 16]",{}
['SNAP-134839-0060.jpg'],1,[],"[3.0, 299, 100, 9]",{}
['SNAP-134839-0060.jpg'],1,[],"[3.0, 1094, 666, 16]",{}
['SNAP-134916-0061.jpg'],1,[],"[3.0, 671, 494, 17]",{}
['SNAP-134916-0061.jpg'],1,[],"[3.0, 504, 775, 10]",{}
['SNAP-134916-0061.jpg'],1,[],"[3.0, 1266, 219, 11]",{}
['SNAP-134939-0062.jpg'],1,[],"[3.0, 179, 701, 10]",{}
['SNAP-134939-0062.jpg'],1,[],"[3.0, 1111, 410, 10]",{}
['SNAP-134939-0062.jpg'],1,[],"[3.0, 1019, 440, 9]",{}
['SNAP-134939-0062.jpg'],1,[],"[3.0, 1019, 555, 9]",{}
['SNAP-134939-0062.jpg'],1,[],"[3.0, 695, 752, 15]",{}
['SNAP-134939-0062.jpg'],1,[],"[3.0, 664, 203, 9]",{}
['SNAP-134947-0063.jpg'],1,[],"[3.0, 549, 228, 16]",{}
['SNAP-134947-0063.jpg'],1,[],"[3.0, 673, 207, 9]",{}
['SNAP-134947-0063.jpg'],1,[],"[3.0, 782, 67, 15]",{}
['SNAP-134947-0063.jpg'],1,[],"[3.0, 882, 652, 13]",{}
['SNAP-135032-0064.jpg'],1,[],"[3.0, 884, 474, 11]",{}
['SNAP-135032-0064.jpg'],1,[],"[3.0, 1034, 645, 8]",{}
['SNAP-140308-0071.jpg'],1,[],"[3.0, 301, 371, 10]",{}
['SNAP-140308-0071.jpg'],1,[],"[3.0, 586, 519, 10]",{}
['SNAP-140332-0072.jpg'],1,[],"[3.0, 353, 73, 10]",{}
['SNAP-140332-0072.jpg'],1,[],"[3.0, 812, 95, 14]",{}
['SNAP-140332-0072.jpg'],1,[],"[3.0, 892, 121, 14]",{}
['SNAP-140332-0072.jpg'],1,[],"[3.0, 116, 827, 11]",{}
['SNAP-140346-0073.jpg'],1,[],"[3.0, 281, 626, 12]",{}
['SNAP-140346-0073.jpg'],1,[],"[3.0, 993, 853, 14]",{}
['SNAP-140346-0073.jpg'],1,[],"[3.0, 1079, 51, 14]",{}
['SNAP-140406-0074.jpg'],1,[],"[3.0, 399, 318, 17]",{}
['SNAP-140406-0074.jpg'],1,[],"[3.0, 723, 241, 15]",{}
['SNAP-140406-0074.jpg'],1,[],"[3.0, 1107, 105, 8]",{}
['SNAP-140406-0074.jpg'],1,[],"[3.0, 1226, 251, 14]",{}
['SNAP-140423-0075.jpg'],1,[],"[3.0, 464, 637, 14]",{}
['SNAP-140423-0075.jpg'],1,[],"[3.0, 64, 245, 11]",{}
['SNAP-140435-0076.jpg'],1,[],"[3.0, 385, 104, 13]",{}
['SNAP-140435-0076.jpg'],1,[],"[3.0, 717, 619, 15]",{}
['SNAP-140435-0076.jpg'],1,[],"[3.0, 798, 812, 19]",{}
['SNAP-140435-0076.jpg'],1,[],"[3.0, 401, 851, 7.749]",{}
['SNAP-140450-0077.jpg'],1,[],"[3.0, 1237, 463, 12]",{}
['SNAP-140450-0077.jpg'],1,[],"[3.0, 436, 954, 14]",{}
['SNAP-140450-0077.jpg'],1,[],"[3.0, 757, 414, 7.377]",{}
['SNAP-140450-0077.jpg'],1,[],"[3.0, 368, 155, 5.479]",{}
['SNAP-140450-0077.jpg'],1,[],"[3.0, 182, 53, 10]",{}
['SNAP-140500-0078.jpg'],1,[],"[3.0, 951, 486, 12]",{}
['SNAP-140500-0078.jpg'],1,[],"[3.0, 1085, 474, 14]",{}
['SNAP-140500-0078.jpg'],1,[],"[3.0, 1018, 42, 15]",{}
['SNAP-140512-0079.jpg'],1,[],"[3.0, 1249, 404, 14]",{}
['SNAP-140512-0079.jpg'],1,[],"[3.0, 459, 727, 11]",{}
['SNAP-140534-0080.jpg'],1,[],"[3.0, 303, 590, 14]",{}
['SNAP-140534-0080.jpg'],1,[],"[3.0, 541, 682, 14]",{}
['SNAP-140534-0080.jpg'],1,[],"[3.0, 578, 860, 12]",{}
['SNAP-140534-0080.jpg'],1,[],"[3.0, 873, 859, 15]",{}
['SNAP-140534-0080.jpg'],1,[],"[3.0, 1058, 815, 13]",{}
['SNAP-140545-0081.jpg'],1,[],"[3.0, 1021, 66, 18]",{}
['SNAP-140559-0082.jpg'],1,[],"[3.0, 303, 582, 12]",{}
['SNAP-140559-0082.jpg'],1,[],"[3.0, 1062, 56, 20]",{}
['SNAP-140559-0082.jpg'],1,[],"[3.0, 1240, 926, 20]",{}
['SNAP-140616-0083.jpg'],1,[],"[3.0, 863, 568, 8]",{}
['SNAP-140616-0083.jpg'],1,[],"[3.0, 1179, 21, 18]",{}
['SNAP-140640-0084.jpg'],1,[],"[3.0, 699, 23, 13]",{}
['SNAP-140655-0085.jpg'],1,[],"[3.0, 896, 399, 6.849]",{}
['SNAP-140710-0086.jpg'],1,[],"[3.0, 300, 149, 14]",{}
['SNAP-140710-0086.jpg'],1,[],"[3.0, 1180, 67, 18]",{}
['SNAP-140710-0086.jpg'],1,[],"[3.0, 1250, 565, 11]",{}
['SNAP-140710-0086.jpg'],1,[],"[3.0, 1171, 1004, 16]",{}
['SNAP-140718-0087.jpg'],1,[],"[3.0, 941, 337, 11]",{}
['SNAP-140718-0087.jpg'],1,[],"[3.0, 1270, 166, 15]",{}
['SNAP-140731-0088.jpg'],1,[],"[3.0, 499, 587, 14]",{}
['SNAP-140731-0088.jpg'],1,[],"[3.0, 618, 592, 11]",{}
['SNAP-140731-0088.jpg'],1,[],"[3.0, 840, 290, 13]",{}
['SNAP-140731-0088.jpg'],1,[],"[3.0, 911, 363, 12]",{}
['SNAP-140731-0088.jpg'],1,[],"[3.0, 474, 309, 14]",{}
['SNAP-140743-0089.jpg'],1,[],"[3.0, 599, 241, 13]",{}
['SNAP-140743-0089.jpg'],1,[],"[3.0, 1168, 318, 14]",{}
['SNAP-140743-0089.jpg'],1,[],"[3.0, 1053, 821, 14]",{}
['SNAP-140752-0090.jpg'],1,[],"[3.0, 755, 263, 19]",{}
['SNAP-140752-0090.jpg'],1,[],"[3.0, 784, 337, 11]",{}
['SNAP-140752-0090.jpg'],1,[],"[3.0, 333, 695, 18]",{}
['SNAP-140752-0090.jpg'],1,[],"[3.0, 125, 428, 13]",{}
['SNAP-140752-0090.jpg'],1,[],"[3.0, 1256, 195, 14]",{}
['SNAP-140752-0090.jpg'],1,[],"[3.0, 511, 585, 12]",{}
['SNAP-140809-0091.jpg'],1,[],"[3.0, 1008, 326, 15]",{}
['SNAP-140809-0091.jpg'],1,[],"[3.0, 1061, 825, 15]",{}
['SNAP-140809-0091.jpg'],1,[],"[3.0, 229, 258, 12.63]",{}
['SNAP-140809-0091.jpg'],1,[],"[3.0, 1023, 270, 8]",{}
['SNAP-140820-0092.jpg'],1,[],"[3.0, 444, 267, 9.189]",{}
['SNAP-140820-0092.jpg'],1,[],"[3.0, 684, 89, 16]",{}
['SNAP-140820-0092.jpg'],1,[],"[3.0, 1161, 432, 12]",{}
['SNAP-140820-0092.jpg'],1,[],"[3.0, 689, 856, 15]",{}
['SNAP-140830-0093.jpg'],1,[],"[3.0, 471, 731, 11]",{}
['SNAP-140830-0093.jpg'],1,[],"[3.0, 803, 944, 12.329]",{}
['SNAP-140830-0093.jpg'],1,[],"[3.0, 1190, 225, 13]",{}
['SNAP-140849-0094.jpg'],1,[],"[3.0, 799, 29, 20]",{}
['SNAP-140849-0094.jpg'],1,[],"[3.0, 251, 716, 11]",{}
['SNAP-140911-0095.jpg'],1,[],"[3.0, 788, 89, 13]",{}
['SNAP-140911-0095.jpg'],1,[],"[3.0, 1092, 895, 13]",{}
['SNAP-140928-0096.jpg'],1,[],"[3.0, 536, 36, 17]",{}
['SNAP-140928-0096.jpg'],1,[],"[3.0, 147, 705, 9.189]",{}
['SNAP-140948-0097.jpg'],1,[],"[3.0, 405, 26, 12]",{}
['SNAP-140948-0097.jpg'],1,[],"[3.0, 941, 870, 9]",{}
['SNAP-141001-0098.jpg'],1,[],"[3.0, 1105, 597, 16]",{}
['SNAP-141001-0098.jpg'],1,[],"[3.0, 1111, 66, 18]",{}
['SNAP-141001-0098.jpg'],1,[],"[3.0, 404, 811, 12]",{}
['SNAP-141001-0098.jpg'],1,[],"[3.0, 586, 523, 12]",{}
['SNAP-141001-0098.jpg'],1,[],"[3.0, 727, 493, 8]",{}
['SNAP-141011-0099.jpg'],1,[],"[3.0, 592, 34, 10]",{}
['SNAP-141032-0100.jpg'],1,[],"[3.0, 1103, 303, 13]",{}
['SNAP-141032-0100.jpg'],1,[],"[3.0, 688, 615, 11]",{}
['SNAP-141046-0101.jpg'],1,[],"[3.0, 245, 138, 12]",{}
['SNAP-141046-0101.jpg'],1,[],"[3.0, 790, 463, 14]",{}
['SNAP-141046-0101.jpg'],1,[],"[3.0, 1122, 454, 11]",{}
['SNAP-141059-0102.jpg'],1,[],"[3.0, 1079, 733, 12]",{}
['SNAP-141120-0103.jpg'],1,[],"[3.0, 845, 288, 18]",{}
['SNAP-141120-0103.jpg'],1,[],"[3.0, 90, 466, 17]",{}
['SNAP-141131-0104.jpg'],1,[],"[3.0, 863, 122, 15]",{}
['SNAP-141131-0104.jpg'],1,[],"[3.0, 1181, 793, 16]",{}
['SNAP-141148-0105.jpg'],1,[],"[3.0, 475, 47, 13]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 79, 675, 18]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 696, 290, 12]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 660, 244, 12]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 733, 24, 14]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 1073, 900, 16]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 637, 932, 15]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 475, 815, 13]",{}
['SNAP-141158-0106.jpg'],1,[],"[3.0, 927, 482, 7.749]",{}
['SNAP-141219-0107.jpg'],1,[],"[3.0, 307, 176, 15]",{}
['SNAP-141219-0107.jpg'],1,[],"[3.0, 364, 273, 13]",{}
['SNAP-141219-0107.jpg'],1,[],"[3.0, 742, 505, 15]",{}
['SNAP-141219-0107.jpg'],1,[],"[3.0, 1003, 264, 6.126]",{}
['SNAP-141219-0107.jpg'],1,[],"[3.0, 777, 86, 12]",{}
['SNAP-141235-0108.jpg'],1,[],"[3.0, 655, 686, 14]",{}
['SNAP-141235-0108.jpg'],1,[],"[3.0, 875, 864, 20]",{}
['SNAP-141249-0109.jpg'],1,[],"[3.0, 146, 203, 13]",{}
['SNAP-141304-0110.jpg'],1,[],"[3.0, 704, 64, 15]",{}
['SNAP-141304-0110.jpg'],1,[],"[3.0, 76, 759, 12]",{}
['SNAP-141321-0111.jpg'],1,[],"[3.0, 922, 442, 14]",{}
['SNAP-141321-0111.jpg'],1,[],"[3.0, 488, 60, 17]",{}
['SNAP-141330-0112.jpg'],1,[],"[3.0, 1116, 108, 18]",{}
['SNAP-141330-0112.jpg'],1,[],"[3.0, 1281, 349, 14]",{}
['SNAP-141349-0113.jpg'],1,[],"[3.0, 1088, 119, 17]",{}
['SNAP-141349-0113.jpg'],1,[],"[3.0, 1142, 94, 11.044]",{}
['SNAP-141349-0113.jpg'],1,[],"[3.0, 604, 830, 19]",{}
['SNAP-141414-0114.jpg'],1,[],"[3.0, 181, 216, 12]",{}
['SNAP-141414-0114.jpg'],1,[],"[3.0, 375, 482, 17]",{}
['SNAP-141414-0114.jpg'],1,[],"[3.0, 675, 866, 13]",{}
['SNAP-141414-0114.jpg'],1,[],"[3.0, 1219, 288, 12]",{}
['SNAP-141414-0114.jpg'],1,[],"[3.0, 1287, 447, 6.985]",{}
['SNAP-141414-0114.jpg'],1,[],"[3.0, 899, 900, 9]",{}
['SNAP-141414-0114.jpg'],1,[],"[3.0, 486, 688, 9]",{}
['SNAP-141428-0115.jpg'],1,[],"[3.0, 804, 81, 17]",{}
['SNAP-141428-0115.jpg'],1,[],"[3.0, 1177, 432, 8]",{}
['SNAP-141451-0116.jpg'],1,[],"[3.0, 656, 141, 14]",{}
['SNAP-141451-0116.jpg'],1,[],"[3.0, 948, 58, 12]",{}
['SNAP-141451-0116.jpg'],1,[],"[3.0, 1237, 695, 14]",{}
['SNAP-141451-0116.jpg'],1,[],"[3.0, 697, 863, 10]",{}
['SNAP-141451-0116.jpg'],1,[],"[3.0, 547, 659, 10]",{}
['SNAP-141504-0117.jpg'],1,[],"[3.0, 584, 78, 16]",{}
['SNAP-141504-0117.jpg'],1,[],"[3.0, 736, 626, 12]",{}
['SNAP-141504-0117.jpg'],1,[],"[3.0, 662, 979, 12]",{}
['SNAP-141520-0118.jpg'],1,[],"[3.0, 824, 82, 13]",{}
['SNAP-141520-0118.jpg'],1,[],"[3.0, 978, 778, 9]",{}
['SNAP-141520-0118.jpg'],1,[],"[3.0, 164, 630, 12]",{}
['SNAP-141531-0119.jpg'],1,[],"[3.0, 158, 358, 8]",{}
